2021-04-21 23:18:02 status half-installed libsemanage-common:all 3.1-1ubuntu1
2021-04-21 23:18:02 status unpacked libsemanage-common:all 3.1-1ubuntu1
2021-04-21 23:18:02 install libsemanage1:amd64 <none> 3.1-1ubuntu1
2021-04-21 23:18:02 status half-installed libsemanage1:amd64 3.1-1ubuntu1
2021-04-21 23:18:02 status unpacked libsemanage1:amd64 3.1-1ubuntu1
2021-04-21 23:18:02 install libsepol1:amd64 <none> 3.1-1ubuntu1
2021-04-21 23:18:02 status half-installed libsepol1:amd64 3.1-1ubuntu1
2021-04-21 23:18:02 status unpacked libsepol1:amd64 3.1-1ubuntu1
2021-04-21 23:18:02 install libsmartcols1:amd64 <none> 2.36.1-7ubuntu2
2021-04-21 23:18:02 status half-installed libsmartcols1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:02 status unpacked libsmartcols1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:02 install libss2:amd64 <none> 1.45.7-1ubuntu2
2021-04-21 23:18:02 status half-installed libss2:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:02 status unpacked libss2:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:02 install libsystemd0:amd64 <none> 247.3-3ubuntu3
2021-04-21 23:18:02 status half-installed libsystemd0:amd64 247.3-3ubuntu3
2021-04-21 23:18:02 status unpacked libsystemd0:amd64 247.3-3ubuntu3
2021-04-21 23:18:02 install libtinfo6:amd64 <none> 6.2+20201114-2build1
2021-04-21 23:18:02 status half-installed libtinfo6:amd64 6.2+20201114-2build1
2021-04-21 23:18:02 status unpacked libtinfo6:amd64 6.2+20201114-2build1
2021-04-21 23:18:02 install libudev1:amd64 <none> 247.3-3ubuntu3
2021-04-21 23:18:02 status half-installed libudev1:amd64 247.3-3ubuntu3
2021-04-21 23:18:02 status unpacked libudev1:amd64 247.3-3ubuntu3
2021-04-21 23:18:02 install libuuid1:amd64 <none> 2.36.1-7ubuntu2
2021-04-21 23:18:02 status half-installed libuuid1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:02 status unpacked libuuid1:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:02 install libzstd1:amd64 <none> 1.4.8+dfsg-2build2
2021-04-21 23:18:02 status half-installed libzstd1:amd64 1.4.8+dfsg-2build2
2021-04-21 23:18:02 status unpacked libzstd1:amd64 1.4.8+dfsg-2build2
2021-04-21 23:18:02 install login:amd64 <none> 1:4.8.1-1ubuntu8
2021-04-21 23:18:02 status half-installed login:amd64 1:4.8.1-1ubuntu8
2021-04-21 23:18:02 status unpacked login:amd64 1:4.8.1-1ubuntu8
2021-04-21 23:18:02 install logsave:amd64 <none> 1.45.7-1ubuntu2
2021-04-21 23:18:02 status half-installed logsave:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:02 status unpacked logsave:amd64 1.45.7-1ubuntu2
2021-04-21 23:18:02 install lsb-base:all <none> 11.1.0ubuntu2
2021-04-21 23:18:02 status half-installed lsb-base:all 11.1.0ubuntu2
2021-04-21 23:18:02 status unpacked lsb-base:all 11.1.0ubuntu2
2021-04-21 23:18:03 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-04-21 23:18:03 status half-configured mawk:amd64 1.3.4.20200120-2
2021-04-21 23:18:03 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-21 23:18:03 status half-installed mawk:amd64 1.3.4.20200120-2
2021-04-21 23:18:03 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-21 23:18:03 install mount:amd64 <none> 2.36.1-7ubuntu2
2021-04-21 23:18:03 status half-installed mount:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:03 status unpacked mount:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:03 install ncurses-base:all <none> 6.2+20201114-2build1
2021-04-21 23:18:03 status half-installed ncurses-base:all 6.2+20201114-2build1
2021-04-21 23:18:03 status unpacked ncurses-base:all 6.2+20201114-2build1
2021-04-21 23:18:03 install ncurses-bin:amd64 <none> 6.2+20201114-2build1
2021-04-21 23:18:03 status half-installed ncurses-bin:amd64 6.2+20201114-2build1
2021-04-21 23:18:03 status unpacked ncurses-bin:amd64 6.2+20201114-2build1
2021-04-21 23:18:03 install passwd:amd64 <none> 1:4.8.1-1ubuntu8
2021-04-21 23:18:03 status half-installed passwd:amd64 1:4.8.1-1ubuntu8
2021-04-21 23:18:03 status unpacked passwd:amd64 1:4.8.1-1ubuntu8
2021-04-21 23:18:03 upgrade perl-base:amd64 5.32.1-3ubuntu2 5.32.1-3ubuntu2
2021-04-21 23:18:03 status half-configured perl-base:amd64 5.32.1-3ubuntu2
2021-04-21 23:18:03 status unpacked perl-base:amd64 5.32.1-3ubuntu2
2021-04-21 23:18:03 status half-installed perl-base:amd64 5.32.1-3ubuntu2
2021-04-21 23:18:03 status unpacked perl-base:amd64 5.32.1-3ubuntu2
2021-04-21 23:18:03 install procps:amd64 <none> 2:3.3.16-5ubuntu3
2021-04-21 23:18:03 status half-installed procps:amd64 2:3.3.16-5ubuntu3
2021-04-21 23:18:03 status unpacked procps:amd64 2:3.3.16-5ubuntu3
2021-04-21 23:18:03 install sed:amd64 <none> 4.7-1ubuntu1
2021-04-21 23:18:03 status half-installed sed:amd64 4.7-1ubuntu1
2021-04-21 23:18:03 status unpacked sed:amd64 4.7-1ubuntu1
2021-04-21 23:18:03 install sensible-utils:all <none> 0.0.14
2021-04-21 23:18:03 status half-installed sensible-utils:all 0.0.14
2021-04-21 23:18:03 status unpacked sensible-utils:all 0.0.14
2021-04-21 23:18:03 install sysvinit-utils:amd64 <none> 2.96-6ubuntu1
2021-04-21 23:18:03 status half-installed sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-21 23:18:03 status unpacked sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-21 23:18:03 install tar:amd64 <none> 1.34+dfsg-1build1
2021-04-21 23:18:03 status half-installed tar:amd64 1.34+dfsg-1build1
2021-04-21 23:18:03 status unpacked tar:amd64 1.34+dfsg-1build1
2021-04-21 23:18:03 install usrmerge:all <none> 24ubuntu3
2021-04-21 23:18:03 status half-installed usrmerge:all 24ubuntu3
2021-04-21 23:18:03 status unpacked usrmerge:all 24ubuntu3
2021-04-21 23:18:03 install util-linux:amd64 <none> 2.36.1-7ubuntu2
2021-04-21 23:18:03 status half-installed util-linux:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:04 status unpacked util-linux:amd64 2.36.1-7ubuntu2
2021-04-21 23:18:04 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu6
2021-04-21 23:18:04 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu6
2021-04-21 23:18:04 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu6
2021-04-21 23:18:04 startup packages configure
2021-04-21 23:18:04 configure gcc-11-base:amd64 11-20210417-1ubuntu1 <none>
2021-04-21 23:18:04 status unpacked gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:04 status half-configured gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:04 status installed gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:04 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-04-21 23:18:04 status unpacked lsb-base:all 11.1.0ubuntu2
2021-04-21 23:18:04 status half-configured lsb-base:all 11.1.0ubuntu2
2021-04-21 23:18:04 status installed lsb-base:all 11.1.0ubuntu2
2021-04-21 23:18:04 configure libaudit-common:all 1:3.0-2ubuntu1 <none>
2021-04-21 23:18:04 status unpacked libaudit-common:all 1:3.0-2ubuntu1
2021-04-21 23:18:04 status half-configured libaudit-common:all 1:3.0-2ubuntu1
2021-04-21 23:18:04 status installed libaudit-common:all 1:3.0-2ubuntu1
2021-04-21 23:18:04 configure libsemanage-common:all 3.1-1ubuntu1 <none>
2021-04-21 23:18:04 status unpacked libsemanage-common:all 3.1-1ubuntu1
2021-04-21 23:18:04 status half-configured libsemanage-common:all 3.1-1ubuntu1
2021-04-21 23:18:04 status installed libsemanage-common:all 3.1-1ubuntu1
2021-04-21 23:18:04 configure ncurses-base:all 6.2+20201114-2build1 <none>
2021-04-21 23:18:04 status unpacked ncurses-base:all 6.2+20201114-2build1
2021-04-21 23:18:04 status half-configured ncurses-base:all 6.2+20201114-2build1
2021-04-21 23:18:04 status installed ncurses-base:all 6.2+20201114-2build1
2021-04-21 23:18:04 configure sensible-utils:all 0.0.14 <none>
2021-04-21 23:18:04 status unpacked sensible-utils:all 0.0.14
2021-04-21 23:18:04 status half-configured sensible-utils:all 0.0.14
2021-04-21 23:18:04 status installed sensible-utils:all 0.0.14
2021-04-21 23:18:04 configure libcrypt1:amd64 1:4.4.17-1ubuntu3 <none>
2021-04-21 23:18:04 status unpacked libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-21 23:18:04 status half-configured libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-21 23:18:04 status installed libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-21 23:18:04 configure libgcc-s1:amd64 11-20210417-1ubuntu1 <none>
2021-04-21 23:18:04 status unpacked libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:04 status half-configured libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:04 status installed libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-21 23:18:04 configure libc6:amd64 2.33-0ubuntu5 <none>
2021-04-21 23:18:04 status unpacked libc6:amd64 2.33-0ubuntu5
2021-04-21 23:18:04 status half-configured libc6:amd64 2.33-0ubuntu5
2021-04-21 23:18:04 status installed libc6:amd64 2.33-0ubuntu5
2021-04-21 23:18:04 configure libudev1:amd64 247.3-3ubuntu3 <none>
2021-04-21 23:18:04 status unpacked libudev1:amd64 247.3-3ubuntu3
2021-04-21 23:18:04 status half-configured libudev1:amd64 247.3-3ubuntu3
2021-04-21 23:18:04 status installed libudev1:amd64 247.3-3ubuntu3
2021-04-21 23:18:04 configure libsepol1:amd64 3.1-1ubuntu1 <none>
2021-04-21 23:18:04 status unpacked libsepol1:amd64 3.1-1ubuntu1
2021-04-21 23:18:04 status half-configured libsepol1:amd64 3.1-1ubuntu1
2021-04-21 23:18:04 status installed libsepol1:amd64 3.1-1ubuntu1
2021-04-21 23:18:04 configure libattr1:amd64 1:2.4.48-6build1 <none>
2021-04-21 23:18:04 status unpacked libattr1:amd64 1:2.4.48-6build1
2021-04-21 23:18:04 status half-configured libattr1:amd64 1:2.4.48-6build1
2021-04-21 23:18:04 status installed libattr1:amd64 1:2.4.48-6build1
2021-04-21 23:18:04 configure sysvinit-utils:amd64 2.96-6ubuntu1 <none>
2021-04-21 23:18:04 status unpacked sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-21 23:18:04 status half-configured sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-21 23:18:04 status installed sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-21 23:18:04 configure debianutils:amd64 4.11.2 <none>
2021-04-21 23:18:04 status unpacked debianutils:amd64 4.11.2
2021-04-21 23:18:04 status half-configured debianutils:amd64 4.11.2
2021-04-21 23:18:04 status installed debianutils:amd64 4.11.2
2021-04-21 23:18:04 configure mawk:amd64 1.3.4.20200120-2 <none>
2021-04-21 23:18:04 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-21 23:18:04 status half-configured mawk:amd64 1.3.4.20200120-2
2021-04-21 23:18:04 status installed mawk:amd64 1.3.4.20200120-2
